backbone_id	base_priority_index	base_rank	top_k	n_variants_evaluated	variant_top_k_frequency	variant_top_10_frequency	variant_top_25_frequency	variant_mean_rank	variant_median_rank	variant_rank_std
AA175	0.9470329247576177	1	25	8	0.75	0.75	0.75	99.25	1.0	192.27438076873372
AA324	0.9445852106501772	2	25	8	0.875	0.75	0.875	74.75	2.0	188.35521628030375
AA319	0.9421752786933351	3	25	8	0.875	0.75	0.875	75.625	3.0	188.02455790401422
AC301	0.9397523913780482	4	25	8	0.75	0.75	0.75	78.125	4.0	187.19470979437426
AA323	0.9396822321311906	5	25	8	0.75	0.75	0.75	102.125	5.0	190.80712611168377
AD100	0.9318466595659971	6	25	8	0.75	0.75	0.75	103.0	6.0	190.36084156149343
AC305	0.9235644837768793	7	25	8	0.75	0.75	0.75	103.75	7.0	189.97878170995833
AB559	0.9138271449960299	8	25	8	0.75	0.75	0.75	104.625	8.0	189.5335969557904
AB169	0.9138271449960299	9	25	8	0.75	0.75	0.75	105.125	9.0	189.27918368114334
AA409	0.9101042789995414	10	25	8	0.75	0.625	0.75	84.125	10.0	184.91919688069166
AA086	0.90889470511324	11	25	8	0.75	0.125	0.75	106.625	11.0	188.51653607840348
AA282	0.9058734182955295	12	25	8	0.875	0.0	0.875	83.75	12.0	184.96807156912243
AA411	0.9043575939855135	13	25	8	0.75	0.0	0.75	86.75	13.0	184.00934079551504
AA279	0.9035221465350444	14	25	8	0.75	0.0	0.75	85.0	14.0	184.4945798661847
AA045	0.8932362212548826	15	25	8	0.75	0.0	0.75	109.5	15.0	187.05814604020858
AA859	0.8900464734214044	16	25	8	0.75	0.0	0.75	110.5	16.0	186.5502613238588
AA850	0.8878026169116578	17	25	8	0.75	0.0	0.75	111.625	17.0	185.98315615936838
AA553	0.8870909471778962	18	25	8	0.75	0.0	0.75	111.5	18.0	186.04838080456383
AA304	0.8821730366034075	19	25	8	0.75	0.0	0.75	89.375	19.0	182.81680550485504
AB193	0.8807289264013987	20	25	8	0.75	0.0	0.75	92.5	20.0	181.80896567551338
AA184	0.8790254702097855	21	25	8	0.75	0.0	0.75	91.375	21.0	182.06587921683735
AA295	0.878462150996036	22	25	8	0.75	0.0	0.75	91.875	22.0	181.86219886221545
AA767	0.8753194549093629	23	25	8	0.75	0.0	0.75	115.125	23.0	184.2229881827998
AA840	0.8752491068764463	24	25	8	0.625	0.0	0.625	95.75	24.0	180.51436923414158
AB561	0.873639280102571	25	25	8	0.75	0.0	0.75	94.75	25.0	180.79114331183374
AA764	0.8721757227087543	26	25	8	0.125	0.0	0.125	117.75	26.0	182.88982339102415
AA346	0.871416187372027	27	25	8	0.0	0.0	0.0	96.5	27.0	180.12981430068706
AA367	0.8694238626065446	28	25	8	0.0	0.0	0.0	96.75	28.0	180.0130203624171
AA316	0.8673200832210243	29	25	8	0.0	0.0	0.0	119.875	29.0	181.82232914304006
AB710	0.861205125550861	30	25	8	0.0	0.0	0.0	121.25	30.0	181.13030530532433
AB008	0.8571828364137167	31	25	8	0.0	0.0	0.0	121.625	31.0	180.94124564344085
AA739	0.857069851003495	32	25	8	0.125	0.125	0.125	95.625	32.0	180.71312729018885
AE264	0.8527659265602615	33	25	8	0.0	0.0	0.0	123.5	33.0	180.00208332127715
AA144	0.8440790665832396	34	25	8	0.0	0.0	0.0	102.375	34.0	177.89880374808595
AA627	0.828788291122161	35	25	8	0.125	0.125	0.125	98.375	35.0	179.63778660126047
AB557	0.8261446213801331	36	25	8	0.0	0.0	0.0	126.0	36.5	178.75262235838667
AC509	0.8261446213801331	37	25	8	0.0	0.0	0.0	126.5	37.0	178.5035013662197
AC030	0.8261446213801331	38	25	8	0.0	0.0	0.0	127.0	38.0	178.25052594592813
AC120	0.8183025148302957	39	25	8	0.125	0.0	0.125	102.875	39.0	177.9483334426035
AE249	0.8163529067307329	40	25	8	0.125	0.125	0.125	101.375	40.0	178.6805372025728
AA143	0.8140001790159276	41	25	8	0.0	0.0	0.0	129.375	41.0	177.06632761482348
AA557	0.8135379559925735	42	25	8	0.0	0.0	0.0	129.375	42.0	177.07338697557012
AA842	0.812851353894658	43	25	8	0.0	0.0	0.0	112.125	43.0	174.32687507954705
AA338	0.8081108033007618	44	25	8	0.125	0.125	0.125	104.625	44.0	177.52741865695
AA473	0.8051343711303429	45	25	8	0.125	0.125	0.125	106.0	45.0	177.02330355069074
AB192	0.8047365965415094	46	25	8	0.0	0.0	0.0	132.625	46.0	175.4522281847683
AA551	0.8015637330040187	47	25	8	0.125	0.125	0.125	107.5	47.0	176.47875226213495
AB628	0.8006513272644659	48	25	8	0.0	0.0	0.0	114.875	48.0	173.185909862783
AA336	0.7910312141351415	49	25	8	0.125	0.125	0.125	109.25	49.0	175.81933198599066
AB159	0.7857173512633641	50	25	8	0.0	0.0	0.0	136.0	50.0	173.77643683767946
