split_year	test_year_end	horizon_years	all_records_status	training_only_status	all_records_n_eligible	training_only_n_eligible	eligible_overlap_count	eligible_union_count	eligible_overlap_fraction	eligible_identical	training_only_future_unseen_row_fraction	training_only_future_unseen_backbone_fraction	roc_auc_delta_training_only_minus_all_records	average_precision_delta_training_only_minus_all_records
2012	2013	1	skipped_insufficient_label_variation	skipped_insufficient_label_variation	414	414	414	414	1.0	True	0.0064935064935064	0.0080428954423592		
2012	2015	3	ok	ok	414	414	414	414	1.0	True	0.0204957102001906	0.0354492992580379	0.0	0.0
2012	2017	5	ok	ok	414	414	414	414	1.0	True	0.0206574185765983	0.04364694471387	0.0	0.0
2012	2020	8	ok	ok	414	414	414	414	1.0	True	0.0092383107088989	0.0402177730944854	0.0	0.0
2013	2014	1	ok	ok	487	487	487	487	1.0	True	0.0523012552301255	0.0905797101449275	0.0	0.0
2013	2016	3	ok	ok	487	487	487	487	1.0	True	0.0164942689404528	0.0312163616792249	0.0	0.0
2013	2018	5	ok	ok	487	487	487	487	1.0	True	0.0200225895882534	0.0467821782178217	0.0	0.0
2013	2021	8	ok	ok	487	487	487	487	1.0	True	0.0072036128889258	0.0394555478980013	0.0	0.0
2014	2015	1	ok	ok	541	541	541	541	1.0	True	0.0129533678756476	0.0211565585331452	0.0	0.0
2014	2017	3	ok	ok	541	541	541	541	1.0	True	0.01914968376669	0.0392948953360264	0.0	0.0
2014	2019	5	ok	ok	541	541	541	541	1.0	True	0.0148348436129786	0.0397845006216328	0.0	0.0
2014	2022	8	ok	ok	541	541	541	541	1.0	True	0.0048815214075053	0.0352921310368118	0.0	0.0
2015	2016	1	ok	ok	989	989	989	989	1.0	True	0.0097887686759402	0.0157342657342657	0.0	0.0
2015	2018	3	ok	ok	989	989	989	989	1.0	True	0.0190053066765395	0.0424380518370834	0.0	0.0
2015	2020	5	ok	ok	989	989	989	989	1.0	True	0.0082302841700106	0.0354826402136589	0.0	0.0
2015	2023	8	ok	ok	989	989	989	989	1.0	True	0.0041905970348604	0.0352184219437859	0.0	0.0
2016	2017	1	ok	ok	1701	1701	1701	1701	1.0	True	0.0285383725414577	0.0528571428571428	0.0	0.0
2016	2019	3	ok	ok	1701	1701	1701	1701	1.0	True	0.0158715162966461	0.0415903740517917	0.0	0.0
2016	2021	5	ok	ok	1701	1701	1701	1701	1.0	True	0.0060278016976257	0.0334310850439882	0.0	0.0
2016	2023	8	ok	ok	1701	1701	1701	1701	1.0	True	0.0039858510913639	0.0338801711840228	0.0	0.0
2017	2018	1	ok	ok	2508	2508	2508	2508	1.0	True	0.016811431773606	0.0320224719101123	0.0	0.0
2017	2020	3	ok	ok	2508	2508	2508	2508	1.0	True	0.0052795655671761	0.0227713178294573	0.0	0.0
2017	2022	5	ok	ok	2508	2508	2508	2508	1.0	True	0.0027373312170772	0.0203430394894295	0.0	0.0
2017	2023	8	ok	ok	2508	2508	2508	2508	1.0	True	0.0026191250316101	0.0219240219240219	0.0	0.0
2018	2019	1	ok	ok	3463	3463	3463	3463	1.0	True	0.0072349084331901	0.015712682379349	0.0	0.0
2018	2021	3	ok	ok	3463	3463	3463	3463	1.0	True	0.001935190103969	0.0100477267018337	0.0	0.0
2018	2023	5	ok	ok	3463	3463	3463	3463	1.0	True	0.0015832255324078	0.0121174779215444	0.0	0.0
2018	2023	8	ok	ok	3463	3463	3463	3463	1.0	True	0.0015832255324078	0.0121174779215444	0.0	0.0
